Longitude,Latitude,hf,bankuai_avg_dist_top3,bankuai_avg_dist_top5,bankuai_closest1_dist,bankuai_closest2_dist,bankuai_closest3_dist,bankuai_closest4_dist,bankuai_closest5_dist,gou_avg_dist_top3,gou_avg_dist_top5,gou_closest1_dist,gou_closest2_dist,gou_closest3_dist,gou_closest4_dist,gou_closest5_dist,liegu_avg_dist_top3,liegu_avg_dist_top5,liegu_closest1_dist,liegu_closest2_dist,liegu_closest3_dist,liegu_closest4_dist,liegu_closest5_dist,ji_avg_dist_top3,ji_avg_dist_top5,ji_closest1_dist,ji_closest2_dist,ji_closest3_dist,ji_closest4_dist,ji_closest5_dist,huoshan_avg_dist_top3,huoshan_avg_dist_top5,huoshan_closest1_dist,huoshan_closest2_dist,huoshan_closest3_dist,huoshan_closest4_dist,huoshan_closest5_dist,duanceng_avg_dist_top3,duanceng_avg_dist_top5,duanceng_closest1_dist,duanceng_closest2_dist,duanceng_closest3_dist,duanceng_closest4_dist,duanceng_closest5_dist,bed,geoid,surface,climatic zones
-165.75,68.25,46,1323.35,1347.79,1308.54,1308.54,1352.97,1380.97,1387.94,1403.18,1404.17,1402.69,1403.25,1403.6,1405.17,1406.16,323.99,333.92,313.42,318.59,339.96,347.9,349.71,1791.01,1791.28,1790.44,1791,1791.59,1791.64,1791.74,546.39,700.9,320,558.46,760.72,902.55,962.74,3966.39,3969.46,3963.47,3966.28,3969.41,3972.25,3975.89,170.0064,1.6282134,170.0064,0
-165.25,68.25,58,1339.62,1352.37,1327.67,1327.67,1363.51,1370.92,1372.07,1386.8,1387.8,1386.31,1386.81,1387.29,1388.92,1389.65,335.25,345.96,330.43,336.36,338.96,358.29,365.79,1811.39,1811.66,1810.83,1811.41,1811.92,1811.95,1812.17,541.77,691.37,313.86,552.23,759.23,883.62,947.91,3948.63,3951.69,3945.72,3948.52,3951.64,3954.47,3958.11,166.63603,1.6619507,166.63603,0
-164.75,65.25,150,1179.27,1184.26,1179.27,1179.27,1179.27,1190.21,1193.27,1188.65,1188.91,1188.34,1188.7,1188.91,1189.28,1189.34,196.18,200.83,194.96,195.67,197.9,203.65,211.99,1784.21,1784.47,1784.06,1784.09,1784.49,1784.59,1785.15,242.97,444.39,67.13,236.78,424.99,731.15,761.87,3766.87,3770.09,3763.79,3766.77,3770.05,3773.01,3776.81,443.29077,6.5113854,443.29077,27
-162.75,60.75,47,791.28,791.8,790.94,790.94,791.96,791.96,793.19,799.35,799.91,798.14,799.57,800.34,800.69,800.78,321.58,355.63,308.26,319,337.48,362.52,450.88,1885.01,1890.09,1882.2,1883.75,1889.07,1895.99,1899.44,300.3,379.55,119.43,302.01,479.47,492.41,504.43,3459.4,3462.81,3456.08,3459.3,3462.81,3465.91,3469.94,10.847742,11.26149,10.847742,26
-162.75,68.25,40,1284.75,1287.93,1279.05,1286.32,1288.88,1292.71,1292.71,1308.35,1309.33,1307.83,1308.04,1309.19,1310.45,1311.15,365.8,394.25,280.62,395.42,421.34,433.03,440.83,1913.59,1913.79,1913.16,1913.8,1913.81,1914.06,1914.14,534.18,654.61,305.42,534.5,762.62,791.38,879.12,3861.51,3864.55,3858.64,3861.41,3864.49,3867.3,3870.9,502.56113,3.4416053,502.56113,19
-162.25,55.75,67,252.41,254.45,251.91,251.91,253.41,253.41,261.59,270.68,272.56,268.86,271.05,272.14,273.1,277.65,525.87,571.39,396.09,583.75,597.78,635.8,643.53,2067.92,2077.5,2062.86,2065.43,2075.46,2088.07,2095.67,43.46,51.9,40.99,43.26,46.12,63.07,66.05,3242.86,3246.45,3239.3,3242.77,3246.5,3249.72,3253.95,-74.73876,15.295653,-74.73876,15
-162.25,66.75,101,1168.49,1169.2,1166.46,1169.51,1169.51,1169.51,1171,1183.44,1184.23,1182.97,1183.64,1183.72,1185.01,1185.8,374.23,384.65,366.06,376.33,380.3,391.93,408.64,1915.1,1915.8,1914.9,1915.05,1915.34,1915.73,1917.98,371.85,511.83,147.34,366.99,601.21,703.89,739.69,3752.48,3755.59,3749.52,3752.37,3755.54,3758.41,3762.09,0,4.0379324,0,27
-161.75,55.75,76,244.02,245.83,242.82,242.82,246.43,246.43,250.65,261.66,262.96,260.5,262.03,262.46,262.92,266.9,554.23,598.29,426.4,609.59,626.7,662.33,666.4,2077.84,2083.84,2070.02,2078.59,2084.91,2091.57,2094.12,35.69,45.26,33.23,35.71,38.12,47.99,71.23,3212.83,3216.42,3209.28,3212.74,3216.47,3219.68,3223.92,-50.604996,15.5294285,-50.604996,15
-161.75,56.25,56,297.32,299.15,297.22,297.22,297.53,297.53,306.24,314.15,315.39,313.41,313.72,315.3,316.39,318.14,534.98,574.06,416.39,580.59,607.96,630.31,635.05,2071.57,2075.35,2070.03,2072.2,2072.49,2080.03,2082.01,85.66,94.45,75.5,88.42,93.06,101.55,113.72,3229.11,3232.68,3225.58,3229.02,3232.73,3235.93,3240.15,-72.125,14.923807,-72.125,15
-161.25,55.75,70,235.72,237.68,234.7,234.7,237.75,237.75,243.49,251.54,253.51,250.48,251.68,252.44,256.2,256.75,582.78,625.46,456.79,635.8,655.75,689.15,689.79,2046.56,2076.55,2038.74,2047.31,2053.62,2120.26,2122.79,39.06,52.63,12.33,50.01,54.86,66.76,79.2,3182.88,3186.47,3179.34,3182.79,3186.52,3189.73,3193.97,-22,15.447683,-22,15
-161.25,70.25,34,1383.98,1393.44,1383.05,1383.23,1385.64,1403.26,1412.02,1432.5,1433.02,1431.98,1432.64,1432.88,1433.12,1434.51,212.19,251.75,71.02,282.25,283.3,307.77,314.39,1987.6,1988.52,1987.09,1987.52,1988.19,1989.35,1990.47,723.54,839.45,534.2,757.06,879.35,991.28,1035.36,3943.85,3946.76,3941.12,3943.74,3946.68,3949.39,3952.84,-25,-0.8014339,-25,7
-160.75,55.75,73,227.66,229.81,226.94,226.94,229.11,229.11,236.97,241.05,243.26,239.82,241.12,242.21,244.86,248.32,611.5,652.87,487.24,662.33,684.93,713.64,716.22,2015.28,2051.63,2007.48,2016.03,2022.33,2104.92,2107.41,49.02,60.91,31.5,49.4,66.15,76.62,80.87,3153.03,3156.62,3149.49,3152.94,3156.67,3159.88,3164.1,-2.3125,15.411014,-2.3125,15
-160.75,66.25,87,1082.09,1082.75,1080.51,1082.88,1082.88,1082.88,1084.61,1096.77,1097.55,1096.3,1096.96,1097.06,1098.32,1099.11,354.78,376.19,332.13,353.21,378.99,408.03,408.59,1976.62,1977.11,1976.46,1976.67,1976.72,1977.64,1978.04,343.71,461.64,147.26,317.99,565.9,623.46,653.6,3666.39,3669.51,3663.43,3666.29,3669.46,3672.33,3676.03,-1,5.4151387,-1,27
-160.25,56.25,79,274.57,276.34,272.43,272.43,278.85,278.85,279.12,282.36,284.42,281.54,282.59,282.97,286.61,288.38,622.6,658.12,508.44,662.62,696.72,704.54,718.28,1986.75,2024.02,1979.73,1987.49,1993.03,2079.12,2080.73,44.31,63.92,38.66,39.75,54.53,90.49,96.19,3141.14,3144.7,3137.62,3141.05,3144.75,3147.95,3152.15,-42.375,14.484885,-42.375,15
-159.75,55.75,129,213.25,215.94,212.26,212.26,215.24,215.24,224.73,220.02,222.59,218.96,219.05,222.04,224.81,228.11,669.36,708.32,548.3,716.22,743.56,762.53,771,1952.74,1989.15,1944.97,1953.49,1959.77,2042.57,2044.98,35.4,61.22,24.96,29.17,52.07,92.54,107.35,3093.62,3097.19,3090.08,3093.53,3097.24,3100.45,3104.67,665.81335,17.34457,665.81335,15
-158.75,56.75,66,292.48,294.49,290.45,290.45,296.54,296.54,298.49,303.76,304.74,302.51,304.34,304.44,306.14,306.27,691.66,726.05,596.55,725.09,753.34,772.9,782.36,1900.04,1938.33,1893.93,1900.76,1905.42,1995.5,1996.06,45.16,67.92,22.12,38.14,75.22,99.66,104.44,3074.41,3077.94,3070.93,3074.32,3077.98,3081.16,3085.34,-22.3125,14.321019,-22.3125,9
-158.75,64.75,61,908.3,910.95,908.3,908.3,908.3,914.57,915.31,920.64,920.98,920.27,920.38,921.27,921.48,921.5,312.08,360.37,269.07,311.58,355.6,400.63,464.97,2060.65,2061.47,2059.97,2060.55,2061.44,2062.47,2062.93,307.25,378.39,218.32,235.66,467.76,469.28,500.89,3496.57,3499.74,3493.55,3496.47,3499.7,3502.61,3506.36,516.18756,9.134103,516.18756,26
-158.75,70.75,70.5,1363.58,1373.3,1358.16,1362.53,1370.05,1384.24,1391.52,1423.5,1423.88,1422.8,1423.62,1424.09,1424.37,1424.51,137.59,171.76,39.22,174.1,199.45,206.36,239.66,2040.22,2041.13,2039.43,2040.49,2040.74,2040.93,2044.04,766.49,883.41,613.14,824.4,861.92,1050.81,1066.78,3908.04,3910.88,3905.39,3907.93,3910.8,3913.46,3916.83,-32.6875,-0.7630182,-32.6875,7
-158.25,62.25,99.5,753.34,754.88,753.34,753.34,753.34,757.19,757.19,754.48,755.32,753.97,754.62,754.85,756.53,756.62,346.22,409.38,300.15,345.82,392.69,440.38,567.89,2036.16,2061.09,2033.02,2036.77,2038.69,2097.91,2099.05,294.21,314.85,237.35,312.69,332.59,338.75,352.88,3324.61,3327.9,3321.45,3324.51,3327.88,3330.88,3334.77,114.633606,11.330555,114.633606,26
-158.25,69.25,38,1223.98,1233.62,1222.93,1222.97,1226.04,1244.34,1251.83,1274.68,1275.04,1274.22,1274.8,1275.01,1275.18,1276.02,187.3,222.84,146.98,188.07,226.84,265.71,286.6,2100.41,2100.66,2100,2100.48,2100.75,2101.03,2101.06,619.04,731.88,470.53,667.31,719.29,887.21,915.06,3784.12,3787.03,3781.38,3784.01,3786.96,3789.67,3793.14,145.98709,1.1273059,145.98709,19
-157.75,57.25,93,315.06,315.92,314.88,314.88,315.41,315.41,318.99,318.97,321.97,316.96,318.2,321.76,323.59,329.34,728.65,751.14,657.82,762.75,765.39,782.91,786.84,1847.84,1887.14,1842.68,1848.54,1852.29,1945.85,1946.35,46.19,59.46,42.69,47.54,48.35,60.72,98.02,3040.29,3043.8,3036.85,3040.2,3043.83,3046.99,3051.13,-10.875,14.22202,-10.875,15
-157.25,56.75,94,253.17,254.31,252.15,252.15,255.21,255.21,256.82,257.32,260.11,255.7,255.8,260.46,262.52,266.04,774.89,801.78,687.95,811.08,825.65,834.18,850.03,1809.37,1847.89,1803.45,1810.08,1814.58,1905.51,1905.82,44.54,57.79,30.17,45.62,57.83,58.94,96.38,2990.1,2993.63,2986.64,2990.01,2993.66,2996.83,3000.99,474.81583,15.836091,474.81583,0
-157.25,57.25,87,296.4,300.16,293.97,293.97,301.27,301.27,310.33,299.72,302.95,297.82,300.4,300.94,307.11,308.49,752.2,773.41,687.86,774.41,794.34,800,810.45,1818.19,1857.58,1813.11,1818.89,1822.56,1916.37,1916.97,25.68,44.58,20.22,25.98,30.84,69.18,76.68,3012.88,3016.38,3009.44,3012.79,3016.41,3019.57,3023.71,-4.8457804,14.375407,-4.8457804,15
-157.25,57.75,81,339.87,343.33,337.46,337.46,344.69,344.69,352.32,344.58,346.09,343.14,343.78,346.82,347.61,349.1,722.27,745.71,692.24,723.81,750.76,780.54,781.18,1828.61,1868.84,1824.37,1829.31,1832.16,1928.43,1929.92,54.83,63.2,44.25,52.33,67.9,70.13,81.38,3036.44,3039.92,3033.03,3036.35,3039.94,3043.09,3047.2,14.771669,14.830087,14.771669,26
-156.75,66.75,67,983.08,987.35,977.25,982.61,989.38,991.17,996.33,1013.03,1013.6,1012.35,1012.54,1014.2,1014.39,1014.52,353.89,378.69,334.01,352.67,374.98,400.3,431.51,2156.01,2156.68,2155.8,2156.11,2156.12,2156.35,2159,420.7,502.33,330.93,444.47,486.71,605.43,644.11,3557.32,3560.34,3554.46,3557.22,3560.28,3563.09,3566.67,404.72873,6.811968,404.72873,27
-156.75,70.75,87,1320.25,1330.11,1312.19,1319.11,1329.44,1336.7,1353.11,1384.61,1385.04,1384.03,1384.58,1385.23,1385.49,1385.88,121.65,144.9,105.17,116.2,143.58,174.1,185.46,2099.86,2100.62,2099.03,2100,2100.54,2100.8,2102.71,769.95,882.08,643.78,822.53,843.53,1030.89,1069.67,3854.27,3857.08,3851.66,3854.17,3857,3859.63,3862.97,8.923072,-0.82389545,8.923072,7
-156.25,58.75,74,387.9,392.76,384.12,384.12,395.46,395.46,404.65,402.17,404.06,400.26,402.26,404,404.56,409.22,689.09,719.64,655.3,688.28,723.69,761.18,769.77,1798.59,1840.57,1796.26,1799.26,1800.26,1901.77,1905.29,82,83.72,80.32,82.49,83.18,84.67,87.93,3034.86,3038.28,3031.52,3034.76,3038.29,3041.4,3045.45,49.979214,15.089819,49.979214,26
-156.25,70.75,64,1310.14,1320.03,1301.38,1308.97,1320.05,1325.48,1344.29,1375.62,1376.04,1375.1,1375.58,1376.16,1376.6,1376.76,118.97,137.8,104.48,123.05,129.37,158.55,173.53,2114.68,2115.4,2113.84,2114.73,2115.46,2115.68,2117.29,772.05,881.79,652.83,813.74,849.59,1027.03,1065.76,3841.18,3843.98,3838.58,3841.08,3843.89,3846.52,3849.85,6.416453,-0.94259906,6.416453,7
-155.75,57.75,71,285.03,287.28,284.79,284.79,285.53,285.53,295.76,293.02,295.09,292.71,292.88,293.48,296.88,299.51,780.83,807.53,765.31,780.78,796.39,829.82,865.34,1741.75,1782.29,1737.82,1742.44,1745,1842.17,1844.04,35.8,43.43,24.11,36.67,46.61,52.23,57.51,2956.79,2960.25,2953.4,2956.69,2960.27,2963.4,2967.5,256.11356,15.051382,256.11356,0
-155.75,68.25,46,1074.14,1083.98,1072.94,1073,1076.48,1095.42,1102.05,1126.74,1126.97,1126.48,1126.72,1127.01,1127.25,1127.4,191.95,223.58,165.66,190.43,219.75,252.03,290,2201.35,2201.54,2201.23,2201.28,2201.53,2201.68,2201.97,542.86,634.02,452.58,569.37,606.63,751.36,790.19,3634.96,3637.89,3632.22,3634.86,3637.81,3640.54,3644.02,584.67096,4.789301,584.67096,27
-155.75,70.25,77,1253.45,1263.38,1245.41,1252.26,1262.68,1270.04,1286.52,1317.96,1318.39,1317.4,1317.92,1318.55,1318.87,1319.19,136.28,143.98,119.84,142.76,146.26,149.69,161.34,2162.84,2163.67,2162.04,2163.18,2163.32,2163.67,2166.17,725.6,830.67,616.13,755.93,804.75,968.92,1007.62,3788.84,3791.66,3786.21,3788.73,3791.57,3794.21,3797.56,14.356308,-1.0367662,14.356308,7
